COMUNA,NOMBRE,PARTIDO,PACTO,RELECCIÓN,AÑOS EN EL CARGO,PERIODOS COMO ALCALDE,CANDIDATURAS ANTERIORES * ,FACEBOOK,TWITTER
Calbuco,PAULINO DIAZ ,UDI,Coalición,No,0,Ninguno,"1996, 2008",https://www.facebook.com/calbucomunicipales.movimientociudadano,paulinoda
Calbuco,RUBEN CARDENAS,PRSD,Por un Chile Justo,Sí,18,"1992-1994, 1996-2012","1992, 1996, 2000, 2004, 2008",https://www.facebook.com/ruben.cardenasgomez.50,
Calbuco,MANUEL OYARZO ,PRO,El cambio por ti,No,0,Ninguno,No,,
Caldera,BRUNILDA GONZALEZ,PPD,Por un Chile Justo,Sí,8,2004 - 2012,"2000, 2004, 2008",,
Caldera,PATRICIA GONZALEZ ,IND,Coalición,No,0,Ninguno,2008,,
Caldera,LUIS GONZALEZ CODOCEDO,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/luis.gonzalezcodocedo,
Calera de Tango,ERASMO VALENZUELA,IND,Concertación,Sí,12,2000 - 2012,"1996, 2000, 2004, 2008",,Erasmoagustin
Calera de Tango,HORTENSIA MORA,UDI,Coalición,No,0,Ninguno,No,,Hortensiamora12
Calle Larga,NELSON VENEGAS,PS,Concertación,Sí,4,2008 - 2012,"2004, 2008",,Nsvenegas
Calle Larga,SABINA GUERRA,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/sabinaguerracl,Sabinaguerracl
Camarones,IVAN ROMERO,IND,Sin Pacto,Sí,4,2008 - 2012,"2000, 2008",https://www.facebook.com/ivanmartin.romeromenacho,
Camarones,JULIO CESAR YUCRA,PRI,Regionalistas e Independientes,No,0,Ninguno,No,,
Camarones,VICTOR ALTINA ,PRSD,Por un Chile Justo,No,0,Ninguno,No,https://www.facebook.com/victoraltinasoza.alcaldecamarones,
Camiña,EVELYN MAMANI ,IND,Sin Pacto,No,0,Ninguno,No,,
Camiña,SILVERIO VIZA,DC,Concertación,No,0,Ninguno,1996,,
Camiña,SIXTO GARCIA,RN,Coalición,Sí,20,1992-2012,"1992, 1996, 2000, 2004, 2008",,
